name,location,not_open_day,,주 메뉴
수제빵 연구소,충남 천안시 서북구 백석3로 35,없음,,"단팥빵, 팥빙수, 크림빵, 소금빵, 모닝빵, 크림치즈빵"
듀팡과자점,충남 천안시 서북구 늘푸른5길 22 102호,일요일,,"우유식빵, 사라다빵, 야채빵, 찰떡빵, 꽈배기, 소금빵"
몽상가인,충남 천안시 서북구 쌍용대로 85,없음,,"바게트, 샌드위치, 소금빵, 치아바타, 에그타르트"
옛날호두과자,충남 천안시 동남구 광풍로 1739,없음,,"호두과자, 튀김호두과자, 호두파이"
꼬망스케잌,충남 천안시 서북구 봉정로 362 명서빌딩,없음,,"밤식빵, 생크림빵, 바게트, 소금빵"
쁘띠빠리,충남 천안시 서북구 한들3로 88,없음,,"바게트, 우유식빵, 치아바타"
슈에뜨 베이커리,충남 천안시 서북구 충무로 170-16,없음,,"마늘빵, 마늘바게트, 소금빵, 에그타르트, "
뚜쥬루 빵돌가마 마을,충남 천안시 동남구 풍세로 706,없음,,"돌가마 만주, 케이크, 소금빵, 팥빙수, 샌드위치, 바게트, 명란소금빵 "
못난이 꽈배기 본점,충남 천안시 동남구 사직로 10-6,명절 당일,,"꽈배기, 도넛, 핫도그"
시바앙과자,충남 천안시 동남구 충절로 42 경남아너스빌상가 102-102,없음,,"소금빵, 메론빵, 레몬타르트"
호도원 호두과자,충남 천안시 동남구 만남로 126 ,없음,,"호두과자, 호두파이"
할머니 학화호도과자 본점,충남 천안시 동남구 만남로 62,없음,,"호두과자, 앙버터"
파스텔 베이커리,충남 천안시 동남구 신부4길 24-5,일요일,,"소금빵, 에그타르트, 마늘바게트"
천안당 호두과자 남천안점,충남 천안시 동남구 목천읍 천안대로 87,없음,,호두과자
지씨브레드,충남 천안시 동남구 유량로 196,없음,,"크로와상, 브레드, 크림빵, 소금빵"
브레드보드,충남 천안시 동남구 성남면 종합휴양지로 183,없음,,"소금빵, 샌드위치, 명란바게트, 메론빵"
엘림베이커리,충남 천안시 동남구 병천면 충절로 1747,None,,공갈빵
