지역,업소명,주소,분야,업종,lat,lon
천안시,독립기념관,충청남도 천안시 동남구 목천읍 독립기념관로 1,역사,박물관,36.782478,127.2244077
천안시,유관순열사 기념관,충청남도 천안시 동남구 병천면 유관순길 38,문화,전시관,36.7591075,127.3075631
천안시,천안삼거리공원,충청남도 천안시 동남구 충절로 410,자연,공원,36.7831245,127.1699027
천안시,태조산왕건길과 청동대좌불,충청남도 천안시 동남구 각원사길 245,문화,사찰,36.8343043,127.1961207
천안시,아라리오조각광장,충청남도 천안시 동남구 만남로 43,문화,전시관,36.8202827,127.1567089
천안시,성성호수공원,충청남도 천안시 서북구 성성2길 95,자연,공원,36.8471364,127.1295959
천안시,광덕산,충청남도 천안시 동남구 광덕면 광덕사길 30,자연,산,36.6758024,127.0422947
천안시,천안 박물관,충청남도 천안시 동남구 천안대로 429-13,역사,박물관,36.7870222,127.1628659
천안시,우정 박물관,충청남도 천안시 동남구 양지말1길 11-14,역사,박물관,36.8143321,127.188294
천안시,흑성산,충청남도 천안시 동남구 목천읍 교촌7길 46-12,자연,산,36.8017488,127.2278658
천안시,태조산,충청남도 천안시 동남구 태조산길 261,자연,산,36.8219541,127.1886585
천안시,봉서산,충청남도 천안시 동남구 봉서10길 12,자연,산,36.8128161,127.1312754
천안시,천안 성거산 위례성,충청남도 천안시 동남구 북면 운용리 산81번지,자연,산,36.8749507,127.2540057
천안시,리각 미술관,충청남도 천안시 동남구 태조산길 245,문화,전시관,36.8206361,127.1862733
천안시,홍대용 과학관,충청남도 천안시 동남구 수신면 장산서길 113,문화,전시관,36.7393756,127.2955918
천안시,천안 흥타령관,충청남도 천안시 동남구 천안대로 412,문화,전시관,36.7850776,127.1654237
천안시,山史 현대시100년관,충청남도 천안시 동남구 백석대학로 1-15 ,문화,전시관,36.8384047,127.1827791
천안시,이동녕선생 기념관,충청남도 천안시 동남구 목천읍 동리4길 35,문화,전시관,36.7904133,127.2388598
천안시,유관순열사 사적지,충청남도 천안시 동남구 병천면 유관순길 38,문화,전시관,36.7591075,127.3075631
천안시,광명사,충청남도 천안시 동남구 다가말2길 100 광명사,문화,사찰,36.7973099,127.143759
천안시,광덕사,충청남도 천안시 동남구 광덕면 광덕사길 30,문화,사찰,36.6758024,127.0422947
천안시,성불사,충청남도 천안시 동남구 성불사길 144,문화,사찰,36.8285417,127.1969009
천안시,은석사,충청남도 천안시 동남구 북면 박문수길 174-1,문화,사찰,36.7775254,127.2751195
천안시,국학원 한민족역사 문화공원,충청남도 천안시 동남구 목천읍 교천지산길 284-11,자연,공원,36.7923159,127.1945166
천안시,천왕사 꽃정원,충청남도 천안시 동남구 광덕면 원터길 484,자연,정원,36.6236892,127.1506405
천안시,아름다운정원 화수목,충청남도 천안시 동남구 목천읍 교천지산길 175,자연,정원,36.7839334,127.1931325
천안시,태조산공원,충청남도 천안시 동남구 태조산길 261,자연,공원,36.8219541,127.1886585
천안시,유성관광농원,충청남도 천안시 동남구 북면 납안5길 66,자연,농원,36.861342,127.254825
천안시,광덕산관광농원,충청남도 천안시 동남구 광덕면 해사동길 15,자연,농원,36.6743779,127.0361013
천안시,태학산자연휴양림,충청남도 천안시 동남구 풍세면 휴양림길 105-2,자연,휴양림,36.7281378,127.0921696
천안시,남산공원,충청남도 천안시 동남구 영성로 1-60,자연,공원,36.7991694,127.1494038
천안시,박문수묘,충청남도 천안시 동남구 북면 은지리 산1-1,문화,유적지,36.7870311,127.2798702
천안시,위례산성,충청남도 천안시 동남구 북면 위례성로 1367-61,문화,유적지,36.8778245,127.2673095
천안시,조병옥박사생가,충청남도 천안시 동남구 병천면 유관순길 249,문화,유적지,36.7515951,127.3147588
천안시,노은정,충청남도 천안시 동남구 병천면 도원리 316-1,문화,유적지,36.7862198,127.3185218
천안시,병천순대거리,충청남도 천안시 동남구 병천면 아우내순대길 82,명소,기타,36.764353,127.3011194
천안시,천안종합휴양관광지,충청남도 천안시 동남구 성남면 종합휴양지로 200,명소,기타,36.7570982,127.2235362
천안시,천호지 야경,충청남도 천안시 동남구 단대로 119,명소,기타,36.8387855,127.1697914
천안시,공방고운,충청남도 천안시 동남구 수신면 해정2길 58,체험,공예품 체험,36.7208301,127.2750184
천안시,효덕목장,충청남도 천안시 동남구 성남면 대흥2길 133-3,체험,치즈 체험,36.7286075,127.2396895
천안시,광덕곤충농장,충청남도 천안시 동남구 광덕면 광풍로 890-26,체험,농촌 체험,36.7027698,127.1101004
천안시,장승배기농장,충청남도 천안시 동남구 성남면 성남신덕1길 228,체험,농촌 체험,36.7178529,127.2407997
천안시,자연누리성,충청남도 천안시 동남구 광덕면 차령고개로 449,체험,농촌 체험,36.6616188,127.124267
천안시,아우내오이 체험농장,충청남도 천안시 동남구 병천면 탑원1길 67-8,체험,농촌 체험,36.7580855,127.3040636
천안시,봉황52농장,충청남도 천안시 동남구 병천면 봉항로 706,체험,농촌 체험,36.8209027,127.3149828
천안시,미애친애농장,충청남도 천안시 동남구 병천면 남부대로 1420 ,체험,농촌 체험,36.7531892,127.3028688
천안시,신광목장,충청남도 천안시 동남구 북면 대평3길 2,체험,농촌 체험,36.86836,127.2831081
천안시,들길농원,충청남도 천안시 동남구 풍세면 상정1길 23,체험,농촌 체험,36.72234,127.1165193
