식당명,주소,주 메뉴,맛집,모범음식점,위생
고쿠락,충청남도 천안시 서북구 직산읍 삼은3길 6-23,"닭갈비, 막국수",Y,N,
곤드레밥집,충청남도 천안시 서북구 입장면 성진로 1255,곤드레밥,Y,N,
까치복집하종률,충청남도 천안시 서북구 백석3로 13-7,생복토장복국,Y,N,
대왕매실갈비,충청남도 천안시 서북구 직산읍 아랫말1길 8,"매실수제돼지갈비, 매실명태회냉면",Y,N,
두목고기집,충청남도 천안시 서북구 불당5길 15,두목살,Y,N,
멘야마쯔리,충청남도 천안시 서북구 쌍용14길 15,라멘,Y,N,
모미지,충청남도 천안시 서북구 서부대로 427,"모미지정식, 호두회비빔밥",Y,Y,
박종식스시,충청남도 천안시 서북구 미라7길 13,초밥,Y,N,
생고기제작소불당점,충청남도 천안시 서북구 검은들1길 26,"흑돼지오겹살, 육회, 소고기",Y,N,
소사벌소한마리,충청남도 천안시 서북구 성정두정로 14,소고기구이,Y,N,
소우리생고기집,충청남도 천안시 서북구 성거읍 봉주로 258,한우고기,Y,N,
슈엔,충청남도 천안시 서북구 성정중1길 26-2,"짜장면, 유린기, 수제딤섬, 동파육",Y,Y,매우우수
육화미,충청남도 천안시 서북구 불당26로 100-10,화망치세트(4인),Y,N,
이정민갈비탕백석직영점,충청남도 천안시 서북구 백석3로 29,갈비탕,Y,N,
일차돌,충청남도 천안시 서북구 불당23로 70,"곱창, 차돌박이",Y,N,
지구대표족발,충청남도 천안시 서북구 불당8길 3,"족발, 보쌈",Y,N,좋음
천지흑염소가든,충청남도 천안시 서북구 직산읍 아랫말1길 7-5,"흑염소탕, 흑염소전골",Y,N,
춘천오리앤닭갈비,충청남도 천안시 서북구 불당1길 51,"닭갈비, 오리갈비",Y,N,
토담,충청남도 천안시 서북구 사라리길 10,광주오리탕,Y,N,
홍씨부엌,충청남도 천안시 서북구 미라6길 40,"족발, 칼국수",Y,N,
광명곱창,충청남도 천안시 서북구 성정공원6길 1-12,"양구이, 생곱창",N,Y,
김씨네부대찌개,충청남도 서북구 직산읍 직산로 43,부대찌개,N,Y,
황금돼지,충청남도 천안시 서북구 불당25로 192,삼겹살,N,Y,
라온흑염소삼계탕전문,충청남도 천안시 서북구 미라11길 26,"흑염소탕, 삼계탕",N,Y,
온누리쭈꾸미천안성정점,충청남도 천안시 서북구 백석로 203,철판쭈꾸미,N,Y,
강찜장해물찜두정점,충청남도 천안시 서북구 오성4길 10,"대구뽈찜, 대구탕(지리)",N,Y,
하누래,충청남도 천안시 서북구 서부대로 700,한우육류,N,Y,매우우수
현대옥불당동카페거리점,충청남도 천안시 서북구 불당15길 20,콩나물국밥,N,Y,
투가리감자탕성환점,충청남도 천안시 서북구 성환읍 성환1로 243,"우거지뼈해장국, 콩비지뼈해장국",N,Y,
이화수전통육개장두정점,충청남도 천안시 서북구 두정로 159,"전통육개장, 육개장전골",N,Y,
기가찬참숯민물장어,충청남도 천안시 서북구 천안대로 1048-6,장어구이,N,Y,
스시슌,충청남도 천안시 서북구 공원로 205,"참치회, 슌초밥",N,Y,
산이내린밥상곤드레밥집,충청남도 천안시 서북구 동서대로 93,"곤드레밥, 코다리밥, 꽃게장밥",N,Y,
큰댁,충청남도 천안시 서북구 성정중4길 30,"큰댁정식, 보리굴비정식",N,Y,
샤브팜,충청남도 천안시 서북구 불당대로 260,월남쌈,N,Y,
