"gid","link_id","f_node","t_node","lanes","road_rank","road_type","road_no","road_name","road_use","multi_link","connect","max_spd","rest_veh","rest_w","rest_h","c-its","length","updatedate","remark","hist_type","histremark","geom","min_cost"
1,"3020105500","3020094100","3020097200",3,"107","000",-,쌍용대로,"0","0","0",60,"0",0,0,"0",133.200414618523,"20230519",,,,"MULTILINESTRING ((211653.54349999968 466597.6405999996, 211671.76829999965 466642.9572999999, 211697.31170000043 466699.0730000008, 211704.64790000021 466720.5554000009))",7.992025
2,"3020518800","3020042700","3020046300",2,"103","000","34",삼사로,"0","0","0",80,"0",0,0,"0",197.567666429534,"20230519",,,,"MULTILINESTRING ((210015.78160000034 480793.83100000024, 210177.71789999958 480766.9570000004, 210209.77589999977 480761.90740000084, 210210.72640000004 480761.7507000007))",8.890545
3,"3020336600","3020116000","3020116100",1,"107","000",-,부성1길,"0","0","0",60,"0",0,0,"0",41.703821714733,"20230519",,,,"MULTILINESTRING ((212119.97709999979 470627.32840000093, 212121.03899999987 470669.0186999999))",2.5022292
232,"3010309400","3010082400","3010075800",1,"107","000",-,신부9길,"0","0","0",30,"0",0,0,"0",231.874382500461,"20230519",,,,"MULTILINESTRING ((214350.6869000001 468637.4450000003, 214118.81259999983 468637.24939999916))",27.824926
301,"3010032200","3010060000","3010057600",1,"107","000",-,다가7길,"0","0","0",60,"0",0,0,"0",196.602839985544,"20230519",,,,"MULTILINESTRING ((212874.9073999999 466980.2762000002, 212823.27309999987 467035.26590000093, 212753.35170000046 467107.96949999966, 212745.01130000036 467112.56259999983, 212734.4160000002 467114.54509999976))",11.79617
302,"3010076700","3010028300","3010027400",1,"106","000","623",광덕로,"0","0","0",50,"0",0,0,"0",479.777749032149,"20230519",,,,"MULTILINESTRING ((210168.09609999973 456056.7874999996, 209870.60859999992 456433.2019999996))",34.544
472,"3020498800","3020180800","3020181000",1,"107","000",-,성진로,"0","0","0",60,"0",0,0,"0",120.440192468933,"20230519",,,,"MULTILINESTRING ((221889.20459999982 479439.1520000007, 222007.41650000028 479462.2125000004))",7.2264113
4,"3020039200","3020008700","3020008800",1,"107","000",-,-,"0","0","0",50,"0",0,0,"0",253.850664832189,"20230519",도로명없음,,,"MULTILINESTRING ((211886.9894000003 478316.3668000009, 211893.07679999992 478327.35170000046, 211916.67399999965 478346.1035999991, 211933.68290000036 478360.2633999996, 211912.42389999982 478404.2232000008, 211915.06689999998 478416.74230000004, 211922.9101999998 478427.93730000034, 211928.47369999997 478459.6015000008, 211928.89219999965 478460.29849999957, 211929.14319999982 478460.3683000002, 212009.6453999998 478460.48230000027))",18.277248
5,"3020199100","3020134600","3020133400",1,"107","000",-,성정15길,"0","0","0",40,"0",0,0,"0",52.878157299308,"20230519",,,,"MULTILINESTRING ((212564.33380000014 468828.55030000024, 212511.46449999977 468827.58249999955))",4.759034
6,"3020249300","3020151000","3020149500",1,"107","000",-,세관길,"0","0","0",10,"0",0,0,"0",90.863252275021,"20230519",,,,"MULTILINESTRING ((213061.6651999997 469533.0087000001, 213039.04679999966 469518.0267999992, 213022.00090000033 469505.8387000002, 212989.36479999963 469478.18290000036))",32.71077
