"gid","node_id","node_type","node_name","turn_p","updatedate","remark","hist_type","histremark","geom"
1,"3020184301","103",오즈스튜디오,"0","20230519",,,,MULTIPOINT ((211246.03899999987 466011.4868000001))
2,"3010137901","101",자매식당,"0","20230519",,,,MULTIPOINT ((230784.00420000032 464206.80509999953))
3,"3020152300","101",직산역삼거리,"1","20230519",,,,MULTIPOINT ((213182.64470000006 474813.80289999954))
4,"3020142000","101",정글인어린이집,"1","20230519",,,,MULTIPOINT ((212764.77269999962 467740.6635999996))
5,"3020050400","104",평택시-천안시,"0","20230519",,,,MULTIPOINT ((210325.77560000028 485790.4473000001))
6,"3010139401","104",풍세터널동측,"0","20230519",,,,MULTIPOINT ((211943.74980000034 462631.0198999997))
7,"3020185901","101",부대동749,"1","20230519",,,,MULTIPOINT ((213313.24990000017 471953.68579999916))
8,"3020185801","102",부대동986,"0","20230519",,,,MULTIPOINT ((213320.82849999983 471891.4503000006))
9,"3010001600","101",용정리1041,"0","20230519",,,,MULTIPOINT ((209345.97279999964 459485.8889000006))
10,"3010002500","102",도장리295-21,"0","20230519",,,,MULTIPOINT ((215782.39099999983 461141.3033000007))
11,"3010002600","102",삼성리75-8,"0","20230519",,,,MULTIPOINT ((215508.88850000035 461772.35280000046))
12,"3010003300","101",청당동551,"0","20230519",,,,MULTIPOINT ((214014.3666000003 465182.7379999999))
13,"3010004000","101",청당동964,"0","20230519",,,,MULTIPOINT ((214202.99199999962 465136.81709999964))
14,"3010074100","103",속성변화점,"0","20230519",,,,MULTIPOINT ((214054.6900000004 459894.04199999943))
15,"3010074600","101",국민연금공단,"0","20230519",,,,MULTIPOINT ((214073.06769999955 465285.4188000001))
16,"3010075200","101",청당동958,"0","20230519",,,,MULTIPOINT ((214104.6793999998 465227.5987))
17,"3020076000","101",별하나,"0","20230519",,,,MULTIPOINT ((211057.50789999962 466454.4989))
18,"3020077600","101",성성동203-3,"0","20230519",,,,MULTIPOINT ((211145.68979999982 471434.3440000005))
19,"3010001000","102",보성리839,"0","20230519",,,,MULTIPOINT ((209284.52219999954 458507.5237000007))
20,"3010009400","102",백자리519-1,"0","20230519",,,,MULTIPOINT ((224231.77759999968 456526.65839999914))
21,"3010010000","101",대화리238-12,"0","20230519",,,,MULTIPOINT ((222541.89350000024 459542.01439999975))
