"숙박시설 이름","주소(도로명)","분류","lat","lon","geom"
천안 호텔사랑,충청남도 천안시 서북구 차돌들길 16,모텔,36.79821,127.12879,POINT (127.12879180908203 36.79821014404297)
천안 더휴식 아늑호텔 천안역 2호점,충청남도 천안시 서북구 양지21길 37,모텔,36.812763,127.13992,POINT (127.13992309570312 36.81276321411133)
신라스테이 천안,충청남도 천안시 서북구 동서대로 177,호텔,36.82576,127.14328,POINT (127.14328002929688 36.82575988769531)
천안 St.179 호텔,충청남도 천안시 서북구 차돌들길 11-14 (쌍용동),모텔,36.797073,127.12766,POINT (127.1276626586914 36.79707336425781)
천안 보보스 호텔,충청남도 천안시 서북구 차돌들길 11-12 (쌍용동),모텔,36.797264,127.12792,POINT (127.12792205810547 36.797264099121094)
천안 브라운도트 천안쌍용점,충청남도 천안시 서북구 차돌들길 12-5,모텔,36.7984,127.12906,POINT (127.12905883789062 36.79840087890625)
천안 아늑호텔 성정점,충청남도 천안시 서북구 성정공원4길 11 (티롤리아모텔),모텔,36.827183,127.14223,POINT (127.14222717285156 36.82718276977539)
천안 도로시,충청남도 천안시 서북구 성정공원3길 9 (호텔 도로시),모텔,36.82652,127.142136,POINT (127.14213562011719 36.82651901245117)
천안 어반스테이,충청남도 천안시 서북구 성정공원4길 31,모텔,36.827023,127.14453,POINT (127.14453125 36.827022552490234)
천안 YAM 천안신부점,충청남도 천안시 동남구 만남의길 8-1(신부동),모텔,36.823444,127.16446,POINT (127.16445922851562 36.82344436645508)
천안 호텔 감,충청남도 천안시 서북구 성정공원3길 8,모텔,36.826176,127.14186,POINT (127.14186096191406 36.826175689697266)
천안 자자 호텔,충청남도 천안시 서북구 성정공원5로 60 1-9층,호텔,36.82736,127.14411,POINT (127.14411163330078 36.82735824584961)
천안 아늑료칸 요수리구리 호텔,충청남도 천안시 서북구 양지9길 8,모텔,36.811913,127.1399,POINT (127.13990020751953 36.811912536621094)
천안 더휴식 아늑호텔 천안역1호점,충청남도 천안시 동남구 양지14길 7,모텔,36.80936,127.14004,POINT (127.1400375366211 36.80936050415039)
