"지역","업소명","주소","분야","업종","lat","lon","geom"
천안시,국보 봉선홍경사갈기비,충청남도 천안시 서북구 성환읍 대홍3길 77-48,문화,유적지,36.943188,127.13463,POINT (127.13462829589844 36.94318771362305)
천안시,만일사,충청남도 천안시 서북구 성거읍 천흥4길 503,문화,사찰,36.850746,127.21955,POINT (127.21955108642578 36.850746154785156)
천안시,망향의동산,충청남도 천안시 서북구 성거읍 망향로 327,자연,기타,36.85032,127.182236,POINT (127.18223571777344 36.850318908691406)
천안시,봉선홍경사 갈기비,충청남도 천안시 서북구 성환읍 대홍리 319-8,문화,유적지,36.943188,127.13463,POINT (127.13462829589844 36.94318771362305)
천안시,천흥사지 오층석탑&당간지주,충청남도 천안시 서북구 성거읍 천흥리 190-2 일원,문화,유적지,36.87005,127.213104,POINT (127.21310424804688 36.87004852294922)
천안시,왕지봉 배꽃,충청남도 천안시 서북구 성환읍 왕지1길 154,명소,기타,36.909447,127.10153,POINT (127.10153198242188 36.909446716308594)
천안시,입장 거봉포도마을,충청남도 천안시 서북구 입장면 입장로 129,명소,기타,36.912758,127.221306,POINT (127.22130584716797 36.912757873535156)
천안시,장수농원,충청남도 천안시 서북구 입장면 독정리 30-3,체험,포도 체험,36.917305,127.23196,POINT (127.2319564819336 36.91730499267578)
천안시,엄마포도농원,충청남도 천안시 서북구 입장면 망향로 1099,체험,포도 체험,36.90852,127.22707,POINT (127.2270736694336 36.90851974487305)
천안시,병권네 포도농원,충청남도 천안시 서북구 입장면 신덕4길 53-2,체험,포도 체험,36.906673,127.21706,POINT (127.21705627441406 36.906673431396484)
천안시,화성선인장,충청남도 천안시 서북구 입장면 연곡길 95-33,체험,농촌 체험,36.920776,127.21032,POINT (127.21031951904297 36.9207763671875)
