"name","location","not_open_day","lat","lon","geom"
수제빵 연구소,충남 천안시 서북구 백석3로 35,없음,36.821877,127.115715,POINT (127.11571502685547 36.821876525878906)
듀팡과자점,충남 천안시 서북구 늘푸른5길 22 102호,일요일,36.827328,127.129654,POINT (127.12965393066406 36.827327728271484)
몽상가인,충남 천안시 서북구 쌍용대로 85,없음,36.805138,127.13181,POINT (127.1318130493164 36.805137634277344)
옛날호두과자,충남 천안시 동남구 광풍로 1739,없음,36.773853,127.142166,POINT (127.14216613769531 36.77385330200195)
꼬망스 케이크,충남 천안시 서북구 봉정로 362 명서빌딩,없음,36.83434,127.1458,POINT (127.14579772949219 36.8343391418457)
쁘띠빠리,충남 천안시 서북구 한들3로 88,없음,36.831043,127.12445,POINT (127.12445068359375 36.8310432434082)
슈에뜨 베이커리,충남 천안시 서북구 충무로 170-16,없음,36.79299,127.12693,POINT (127.1269302368164 36.792991638183594)
뚜쥬루 빵돌가마 마을,충남 천안시 동남구 풍세로 706,없음,36.77308,127.139534,POINT (127.13953399658203 36.77307891845703)
못난이 꽈배기 본점,충남 천안시 동남구 사직로 10-6,명절 당일,36.80066,127.15005,POINT (127.1500473022461 36.8006591796875)
시바앙과자,충남 천안시 동남구 충절로 42 경남아너스빌상가 102-102,없음,36.815174,127.15757,POINT (127.1575698852539 36.8151741027832)
호도원 호두과자,충남 천안시 동남구 만남로 126 ,없음,36.8231,127.163864,POINT (127.16386413574219 36.82310104370117)
할머니 학화호도과자 본점,충남 천안시 동남구 만남로 62,없음,36.81902,127.15911,POINT (127.15911102294922 36.81901931762695)
파스텔 베이커리,충남 천안시 동남구 신부4길 24-5,일요일,36.817593,127.16231,POINT (127.16230773925781 36.81759262084961)
천안당 호두과자 남천안점,충남 천안시 동남구 목천읍 천안대로 87,없음,36.757214,127.17102,POINT (127.1710205078125 36.7572135925293)
지씨브레드,충남 천안시 동남구 유량로 196,없음,36.81195,127.180275,POINT (127.1802749633789 36.81195068359375)
브레드보드,충남 천안시 동남구 성남면 종합휴양지로 183,없음,36.757313,127.22509,POINT (127.22509002685547 36.7573127746582)
엘림베이커리,충남 천안시 동남구 병천면 충절로 1747,None,36.762405,127.29905,POINT (127.2990493774414 36.76240539550781)
