숙박시설 이름,주소(도로명),분류,lat,lon,평점 ,평균 가격
천안 호텔사랑,충청남도 천안시 서북구 차돌들길 16,모텔,36.7982096,127.1287891,5,"45,000"
천안 더휴식 아늑호텔 천안역 2호점,충청남도 천안시 서북구 양지21길 37,모텔,36.8127617,127.1399256,4.9,"65,000"
신라스테이 천안,충청남도 천안시 서북구 동서대로 177,호텔,36.8257597,127.1432812,4.6,"135,000"
천안 St.179 호텔,충청남도 천안시 서북구 차돌들길 11-14 (쌍용동),모텔,36.7970742,127.1276635,4.8,"48,000"
천안 보보스 호텔,충청남도 천안시 서북구 차돌들길 11-12 (쌍용동),모텔,36.7972623,127.1279234,4.7,"40,000"
천안 브라운도트 천안쌍용점,충청남도 천안시 서북구 차돌들길 12-5,모텔,36.7984026,127.1290614,4.7,"40,000"
천안 아늑호텔 성정점,충청남도 천안시 서북구 성정공원4길 11 (티롤리아모텔),모텔,36.8271833,127.1422242,4.9,"60,000"
천안 도로시,충청남도 천안시 서북구 성정공원3길 9 (호텔 도로시),모텔,36.8265185,127.1421349,4.7,"45,000"
천안 어반스테이,충청남도 천안시 서북구 성정공원4길 31,모텔,36.8270236,127.1445278,4.7,"55,000"
천안 YAM 천안신부점,충청남도 천안시 동남구 만남의길 8-1(신부동),모텔,36.8234458,127.1644594,4.9,"35,000"
천안 호텔 감,충청남도 천안시 서북구 성정공원3길 8,모텔,36.8261739,127.1418622,4.9,"60,000"
천안 자자 호텔,충청남도 천안시 서북구 성정공원5로 60 1-9층,호텔,36.8273595,127.1441087,4.8,"50,000"
천안 아늑료칸 요수리구리 호텔,충청남도 천안시 서북구 양지9길 8,모텔,36.8119113,127.1399027,4.8,"55,000"
천안 더휴식 아늑호텔 천안역1호점,충청남도 천안시 동남구 양지14길 7,모텔,36.8093591,127.140035,4.9,"42,000"
천안 브라운도트 천안터미널점,충청남도 천안시 동남구 신부3길 25,모텔,36.8185774,127.1600304,4.9,"72,000"
천안 그레이스 호텔,충남 천안시 서북구 성정공원4길 26,모텔,36.8267001,127.1437878,4.9,"45,000"
천안 터미널 G7,충남 천안시 동남구 신부3길 21,모텔,36.8180277,127.1597452,4.8,"31,500"
천안 터미널 꼬모도,충청남도 천안시 동남구 먹거리11길 44,모텔,36.8180375,127.1574067,4.4,"25,200"
천안 아리아,충청남도 천안시 서북구 봉정로 277,모텔,36.8266834,127.1444741,4.8,"40,500"
천안 (쌍용동) 카페 호텔,충청남도 천안시 서북구 차돌들길 7-10 (상하이모텔),모텔,36.7970741,127.1285429,4.8,"35,000"
천안 모노리스 호텔 천안점,충청남도 천안시 서북구 성정공원5로 53 (비틀즈),모텔,36.8279501,127.1435495,4.9,"55,000"
천안 빛날빈,충청남도 천안시 서북구 차돌들길 11-9,모텔,36.7972187,127.1283847,4.7,"34,200"
천안 이끌림호텔 아비숑 본관,충청남도 천안시 동남구 양지10길 6,모텔,36.8078625,127.1396776,4.5,"36,000"
천안 문스테이,충청남도 천안시 동남구 태조산길 219 (로즈파크장),모텔,36.8185185,127.1848314,4.3,"30,000"
천안 하운드 천안성정,충청남도 천안시 서북구 성정공원7길 14,모텔,36.8289617,127.1426685,4.8,"50,000"
천안 달 호텔 천안 신불당점,충청남도 천안시 서북구 불당33길 47,모텔,36.810841,127.1069975,4.6,"72,000"
천안 벅스79,충청남도 천안시 동남구 신부2길 32,모텔,36.8186147,127.1597305,4.9,"25,000"
천안 GLORY HOTEL-구 NO.25,충청남도 천안시 서북구 양지10길 56,모텔,36.8123386,127.1407471,4.5,"40,000"
